workerid,gender,lexeme,subject_information.age,neutral_binary,gender_total,party_numeric,party_cat,freq_neutral,freq_male,freq_female,log_rel_freq
953,male,firefighter,31,1,23.012500000000003,4,Democrat,100643,15598,75,1.8596401150568989
907,female,police officer,41,0,35.45,5,Democrat,540418,106944,7577,1.551584701900588
907,male,congressperson,41,0,35.45,5,Democrat,1150,134553,48088,-5.067760535083254
907,female,craftsperson,41,0,35.45,5,Democrat,961,16604,355,-2.870579536373108
907,male,firefighter,41,0,35.45,5,Democrat,100643,15598,75,1.8596401150568989
907,male,flight attendant,41,1,35.45,5,Democrat,42113,47553,4895,-0.21946572093989578
907,female,salesperson,41,0,35.45,5,Democrat,14830,45858,2553,-1.1830749044774842
907,male,layperson,41,0,35.45,5,Democrat,3829,15822,219,-1.4325442721395467
907,male,meteorologist,41,0,35.45,5,Democrat,86259,9614,67,2.187189196555766
907,female,crewmember,41,0,35.45,5,Democrat,2262,3593,5,-0.46412875783441265
907,male,businessperson,41,0,35.45,5,Democrat,6653,326423,42745,-4.016183944223057
907,female,stunt double,41,0,35.45,5,Democrat,4895,7809,1214,-0.6115625970298899
907,female,foreperson,41,0,35.45,5,Democrat,1768,38553,775,-3.1020877691681727
907,female,camera operator,41,1,35.45,5,Democrat,4258,23906,478,-1.745127613032948
907,male,anchor,41,0,35.45,5,Democrat,26764,5817,517,1.4411257528041224
952,female,stunt double,24,0,24,4,Democrat,4895,7809,1214,-0.6115625970298899
952,female,crewmember,24,1,24,4,Democrat,2262,3593,5,-0.46412875783441265
952,male,flight attendant,24,1,24,4,Democrat,42113,47553,4895,-0.21946572093989578
952,female,foreperson,24,1,24,4,Democrat,1768,38553,775,-3.1020877691681727
952,male,firefighter,24,1,24,4,Democrat,100643,15598,75,1.8596401150568989
952,female,police officer,24,1,24,4,Democrat,540418,106944,7577,1.551584701900588
952,male,craftsperson,24,1,24,4,Democrat,961,16604,355,-2.870579536373108
952,female,layperson,24,1,24,4,Democrat,3829,15822,219,-1.4325442721395467
952,male,camera operator,24,1,24,4,Democrat,4258,23906,478,-1.745127613032948
952,male,meteorologist,24,1,24,4,Democrat,86259,9614,67,2.187189196555766
952,female,salesperson,24,1,24,4,Democrat,14830,45858,2553,-1.1830749044774842
952,female,businessperson,24,1,24,4,Democrat,6653,326423,42745,-4.016183944223057
952,male,anchor,24,1,24,4,Democrat,26764,5817,517,1.4411257528041224
952,female,congressperson,24,0,24,4,Democrat,1150,134553,48088,-5.067760535083254
917,female,meteorologist,23,1,14.5,5,Democrat,86259,9614,67,2.187189196555766
917,male,salesperson,23,0,14.5,5,Democrat,14830,45858,2553,-1.1830749044774842
917,female,stunt double,23,0,14.5,5,Democrat,4895,7809,1214,-0.6115625970298899
917,male,congressperson,23,0,14.5,5,Democrat,1150,134553,48088,-5.067760535083254
917,female,businessperson,23,0,14.5,5,Democrat,6653,326423,42745,-4.016183944223057
917,male,anchor,23,0,14.5,5,Democrat,26764,5817,517,1.4411257528041224
917,female,camera operator,23,0,14.5,5,Democrat,4258,23906,478,-1.745127613032948
917,female,craftsperson,23,0,14.5,5,Democrat,961,16604,355,-2.870579536373108
917,female,police officer,23,1,14.5,5,Democrat,540418,106944,7577,1.551584701900588
917,male,foreperson,23,0,14.5,5,Democrat,1768,38553,775,-3.1020877691681727
917,female,firefighter,23,1,14.5,5,Democrat,100643,15598,75,1.8596401150568989
917,female,flight attendant,23,1,14.5,5,Democrat,42113,47553,4895,-0.21946572093989578
917,male,layperson,23,0,14.5,5,Democrat,3829,15822,219,-1.4325442721395467
917,male,crewmember,23,1,14.5,5,Democrat,2262,3593,5,-0.46412875783441265
921,female,foreperson,29,1,4.5625,4,Democrat,1768,38553,775,-3.1020877691681727
921,male,flight attendant,29,0,4.5625,4,Democrat,42113,47553,4895,-0.21946572093989578
921,female,anchor,29,1,4.5625,4,Democrat,26764,5817,517,1.4411257528041224
921,female,firefighter,29,1,4.5625,4,Democrat,100643,15598,75,1.8596401150568989
921,male,camera operator,29,1,4.5625,4,Democrat,4258,23906,478,-1.745127613032948
921,female,craftsperson,29,1,4.5625,4,Democrat,961,16604,355,-2.870579536373108
921,female,congressperson,29,1,4.5625,4,Democrat,1150,134553,48088,-5.067760535083254
921,female,layperson,29,1,4.5625,4,Democrat,3829,15822,219,-1.4325442721395467
921,male,police officer,29,1,4.5625,4,Democrat,540418,106944,7577,1.551584701900588
921,male,stunt double,29,1,4.5625,4,Democrat,4895,7809,1214,-0.6115625970298899
921,male,crewmember,29,1,4.5625,4,Democrat,2262,3593,5,-0.46412875783441265
921,male,meteorologist,29,1,4.5625,4,Democrat,86259,9614,67,2.187189196555766
921,female,salesperson,29,1,4.5625,4,Democrat,14830,45858,2553,-1.1830749044774842
921,male,businessperson,29,1,4.5625,4,Democrat,6653,326423,42745,-4.016183944223057
910,female,meteorologist,30,1,16.4125,5,Democrat,86259,9614,67,2.187189196555766
910,female,layperson,30,1,16.4125,5,Democrat,3829,15822,219,-1.4325442721395467
910,female,foreperson,30,0,16.4125,5,Democrat,1768,38553,775,-3.1020877691681727
910,female,congressperson,30,0,16.4125,5,Democrat,1150,134553,48088,-5.067760535083254
910,male,salesperson,30,0,16.4125,5,Democrat,14830,45858,2553,-1.1830749044774842
910,female,craftsperson,30,0,16.4125,5,Democrat,961,16604,355,-2.870579536373108
910,male,crewmember,30,0,16.4125,5,Democrat,2262,3593,5,-0.46412875783441265
910,female,police officer,30,1,16.4125,5,Democrat,540418,106944,7577,1.551584701900588
910,male,businessperson,30,0,16.4125,5,Democrat,6653,326423,42745,-4.016183944223057
910,male,anchor,30,0,16.4125,5,Democrat,26764,5817,517,1.4411257528041224
910,male,firefighter,30,0,16.4125,5,Democrat,100643,15598,75,1.8596401150568989
910,male,camera operator,30,0,16.4125,5,Democrat,4258,23906,478,-1.745127613032948
910,male,stunt double,30,0,16.4125,5,Democrat,4895,7809,1214,-0.6115625970298899
910,male,flight attendant,30,1,16.4125,5,Democrat,42113,47553,4895,-0.21946572093989578
908,male,meteorologist,39,0,38.9625,5,Democrat,86259,9614,67,2.187189196555766
908,male,camera operator,39,0,38.9625,5,Democrat,4258,23906,478,-1.745127613032948
908,male,craftsperson,39,0,38.9625,5,Democrat,961,16604,355,-2.870579536373108
908,male,businessperson,39,0,38.9625,5,Democrat,6653,326423,42745,-4.016183944223057
908,female,flight attendant,39,1,38.9625,5,Democrat,42113,47553,4895,-0.21946572093989578
908,male,salesperson,39,0,38.9625,5,Democrat,14830,45858,2553,-1.1830749044774842
908,female,anchor,39,0,38.9625,5,Democrat,26764,5817,517,1.4411257528041224
908,female,congressperson,39,0,38.9625,5,Democrat,1150,134553,48088,-5.067760535083254
908,male,firefighter,39,0,38.9625,5,Democrat,100643,15598,75,1.8596401150568989
908,male,foreperson,39,0,38.9625,5,Democrat,1768,38553,775,-3.1020877691681727
908,female,layperson,39,0,38.9625,5,Democrat,3829,15822,219,-1.4325442721395467
908,male,stunt double,39,0,38.9625,5,Democrat,4895,7809,1214,-0.6115625970298899
908,female,police officer,39,0,38.9625,5,Democrat,540418,106944,7577,1.551584701900588
908,female,crewmember,39,0,38.9625,5,Democrat,2262,3593,5,-0.46412875783441265
932,male,flight attendant,30,0,38.925,5,Democrat,42113,47553,4895,-0.21946572093989578
932,female,camera operator,30,1,38.925,5,Democrat,4258,23906,478,-1.745127613032948
932,male,crewmember,30,1,38.925,5,Democrat,2262,3593,5,-0.46412875783441265
932,female,stunt double,30,0,38.925,5,Democrat,4895,7809,1214,-0.6115625970298899
932,female,anchor,30,1,38.925,5,Democrat,26764,5817,517,1.4411257528041224
932,male,foreperson,30,0,38.925,5,Democrat,1768,38553,775,-3.1020877691681727
932,female,craftsperson,30,0,38.925,5,Democrat,961,16604,355,-2.870579536373108
932,male,businessperson,30,0,38.925,5,Democrat,6653,326423,42745,-4.016183944223057
932,female,layperson,30,0,38.925,5,Democrat,3829,15822,219,-1.4325442721395467
932,male,firefighter,30,0,38.925,5,Democrat,100643,15598,75,1.8596401150568989
932,male,salesperson,30,0,38.925,5,Democrat,14830,45858,2553,-1.1830749044774842
932,male,police officer,30,0,38.925,5,Democrat,540418,106944,7577,1.551584701900588
932,female,meteorologist,30,1,38.925,5,Democrat,86259,9614,67,2.187189196555766
932,female,congressperson,30,0,38.925,5,Democrat,1150,134553,48088,-5.067760535083254
966,female,congressperson,31,0,7.75,4,Democrat,1150,134553,48088,-5.067760535083254
966,female,salesperson,31,1,7.75,4,Democrat,14830,45858,2553,-1.1830749044774842
966,male,meteorologist,31,1,7.75,4,Democrat,86259,9614,67,2.187189196555766
966,female,craftsperson,31,1,7.75,4,Democrat,961,16604,355,-2.870579536373108
966,female,firefighter,31,1,7.75,4,Democrat,100643,15598,75,1.8596401150568989
966,female,police officer,31,1,7.75,4,Democrat,540418,106944,7577,1.551584701900588
966,female,camera operator,31,1,7.75,4,Democrat,4258,23906,478,-1.745127613032948
966,female,foreperson,31,1,7.75,4,Democrat,1768,38553,775,-3.1020877691681727
966,male,anchor,31,1,7.75,4,Democrat,26764,5817,517,1.4411257528041224
966,male,stunt double,31,1,7.75,4,Democrat,4895,7809,1214,-0.6115625970298899
966,female,businessperson,31,1,7.75,4,Democrat,6653,326423,42745,-4.016183944223057
966,male,flight attendant,31,0,7.75,4,Democrat,42113,47553,4895,-0.21946572093989578
966,male,layperson,31,1,7.75,4,Democrat,3829,15822,219,-1.4325442721395467
966,male,crewmember,31,1,7.75,4,Democrat,2262,3593,5,-0.46412875783441265
960,female,salesperson,31,1,1.0625,5,Democrat,14830,45858,2553,-1.1830749044774842
960,male,meteorologist,31,1,1.0625,5,Democrat,86259,9614,67,2.187189196555766
960,female,police officer,31,1,1.0625,5,Democrat,540418,106944,7577,1.551584701900588
960,female,stunt double,31,1,1.0625,5,Democrat,4895,7809,1214,-0.6115625970298899
960,female,firefighter,31,1,1.0625,5,Democrat,100643,15598,75,1.8596401150568989
960,male,congressperson,31,1,1.0625,5,Democrat,1150,134553,48088,-5.067760535083254
960,female,anchor,31,1,1.0625,5,Democrat,26764,5817,517,1.4411257528041224
960,female,camera operator,31,1,1.0625,5,Democrat,4258,23906,478,-1.745127613032948
960,female,businessperson,31,1,1.0625,5,Democrat,6653,326423,42745,-4.016183944223057
960,male,craftsperson,31,1,1.0625,5,Democrat,961,16604,355,-2.870579536373108
960,male,layperson,31,1,1.0625,5,Democrat,3829,15822,219,-1.4325442721395467
960,male,foreperson,31,1,1.0625,5,Democrat,1768,38553,775,-3.1020877691681727
960,male,flight attendant,31,1,1.0625,5,Democrat,42113,47553,4895,-0.21946572093989578
960,female,crewmember,31,1,1.0625,5,Democrat,2262,3593,5,-0.46412875783441265
964,female,businessperson,36,0,27.262500000000003,4,Democrat,6653,326423,42745,-4.016183944223057
964,female,craftsperson,36,0,27.262500000000003,4,Democrat,961,16604,355,-2.870579536373108
964,female,anchor,36,1,27.262500000000003,4,Democrat,26764,5817,517,1.4411257528041224
964,male,police officer,36,1,27.262500000000003,4,Democrat,540418,106944,7577,1.551584701900588
964,male,layperson,36,0,27.262500000000003,4,Democrat,3829,15822,219,-1.4325442721395467
964,female,congressperson,36,0,27.262500000000003,4,Democrat,1150,134553,48088,-5.067760535083254
964,female,foreperson,36,0,27.262500000000003,4,Democrat,1768,38553,775,-3.1020877691681727
964,male,stunt double,36,0,27.262500000000003,4,Democrat,4895,7809,1214,-0.6115625970298899
964,male,salesperson,36,0,27.262500000000003,4,Democrat,14830,45858,2553,-1.1830749044774842
964,male,meteorologist,36,1,27.262500000000003,4,Democrat,86259,9614,67,2.187189196555766
964,male,camera operator,36,1,27.262500000000003,4,Democrat,4258,23906,478,-1.745127613032948
964,female,crewmember,36,1,27.262500000000003,4,Democrat,2262,3593,5,-0.46412875783441265
964,male,flight attendant,36,0,27.262500000000003,4,Democrat,42113,47553,4895,-0.21946572093989578
964,female,firefighter,36,1,27.262500000000003,4,Democrat,100643,15598,75,1.8596401150568989
1736,male,salesperson,29,1,9.549999999999997,4,Democrat,14830,45858,2553,-1.1830749044774842
1736,male,foreperson,29,0,9.549999999999997,4,Democrat,1768,38553,775,-3.1020877691681727
1736,female,firefighter,29,1,9.549999999999997,4,Democrat,100643,15598,75,1.8596401150568989
1736,male,layperson,29,1,9.549999999999997,4,Democrat,3829,15822,219,-1.4325442721395467
1736,male,anchor,29,1,9.549999999999997,4,Democrat,26764,5817,517,1.4411257528041224
1736,female,stunt double,29,1,9.549999999999997,4,Democrat,4895,7809,1214,-0.6115625970298899
1736,female,congressperson,29,1,9.549999999999997,4,Democrat,1150,134553,48088,-5.067760535083254
1736,female,police officer,29,1,9.549999999999997,4,Democrat,540418,106944,7577,1.551584701900588
1736,male,flight attendant,29,1,9.549999999999997,4,Democrat,42113,47553,4895,-0.21946572093989578
1736,male,crewmember,29,1,9.549999999999997,4,Democrat,2262,3593,5,-0.46412875783441265
